customer_id,tenure_months,monthly_charges,support_tickets,contract,total_charges,churn
1,38,86.05,0,Month-to-month,3269.9,0
2,44,77.82,1,Two year,3424.08,1
3,13,59.87,1,Two year,778.31,0
4,9,116.66,0,Month-to-month,1049.94,1
5,10,35.41,1,Month-to-month,354.1,0
6,12,109.51,0,Month-to-month,1314.12,1
7,6,51.1,0,Month-to-month,306.6,0
8,16,74.85,1,Month-to-month,1197.6,1
9,1,88.21,2,Two year,88.21,0
10,17,43.65,0,Month-to-month,742.05,0
11,2,36.77,0,Two year,73.54,0
12,13,70.85,2,Month-to-month,921.05,0
13,8,99.19,1,One year,793.52,0
14,46,89.24,0,Month-to-month,4105.04,0
15,7,31.9,0,One year,223.3,1
16,26,110.07,0,One year,2861.82,0
17,51,67.97,0,Month-to-month,3466.47,0
18,21,114.67,0,Month-to-month,2408.07,0
19,38,75.34,1,Month-to-month,2862.92,0
20,19,28.48,0,Two year,541.12,0
21,21,40.25,0,Two year,845.25,0
22,12,105.42,0,One year,1265.04,0
23,43,90.59,0,Month-to-month,3895.37,0
24,29,109.49,0,One year,3175.21,0
25,30,52.91,1,Month-to-month,1587.3,0
26,15,72.8,0,One year,1092.0,0
27,51,85.04,0,Two year,4337.04,0
28,5,79.43,1,Two year,397.15,0
29,24,43.15,0,Month-to-month,1035.6,1
30,24,62.68,2,One year,1504.32,0
31,42,44.81,0,Month-to-month,1882.02,1
32,50,104.56,0,Two year,5228.0,1
33,56,118.67,0,Two year,6645.52,0
34,31,26.66,0,Month-to-month,826.46,1
35,33,91.39,0,Month-to-month,3015.87,1
36,23,53.01,1,Month-to-month,1219.23,0
37,14,82.54,0,Month-to-month,1155.56,0
38,42,45.81,0,Month-to-month,1924.02,0
39,10,85.1,0,One year,851.0,0
40,8,57.11,0,Month-to-month,456.88,0
41,23,49.48,1,Month-to-month,1138.04,0
42,58,111.18,1,Month-to-month,6448.44,0
43,2,114.25,0,Month-to-month,228.5,0
44,1,81.36,0,Month-to-month,81.36,0
45,18,41.45,1,Month-to-month,746.1,0
46,9,113.94,1,Two year,1025.46,1
47,25,95.05,1,Month-to-month,2376.25,1
48,14,95.11,0,Two year,1331.54,0
49,52,41.17,0,Two year,2140.84,0
50,48,103.02,1,Month-to-month,4944.96,1
51,43,44.01,0,Month-to-month,1892.43,0
52,58,83.16,0,Month-to-month,4823.28,0
53,9,91.07,0,One year,819.63,0
54,31,94.24,1,Month-to-month,2921.44,0
55,8,59.03,0,Month-to-month,472.24,0
56,4,95.98,0,Two year,383.92,1
57,7,110.29,1,Month-to-month,772.03,0
58,22,78.74,1,One year,1732.28,0
59,50,29.04,0,One year,1452.0,0
60,58,32.9,0,One year,1908.2,1
61,4,30.53,1,Month-to-month,122.12,1
62,5,37.27,0,Month-to-month,186.35,0
63,25,32.64,1,Month-to-month,816.0,0
64,50,97.83,0,One year,4891.5,0
65,44,23.94,0,Month-to-month,1053.36,0
66,13,44.16,0,Month-to-month,574.08,0
67,27,107.91,0,Month-to-month,2913.57,0
68,53,117.35,1,Month-to-month,6219.55,1
69,17,80.54,1,Month-to-month,1369.18,0
70,46,117.62,0,Month-to-month,5410.52,1
71,52,24.35,0,Month-to-month,1266.2,1
72,42,114.86,1,Month-to-month,4824.12,0
73,19,51.13,1,Month-to-month,971.47,0
74,16,99.9,2,Month-to-month,1598.4,0
75,1,101.06,0,Month-to-month,101.06,0
76,5,106.0,0,One year,530.0,0
77,26,65.86,0,Month-to-month,1712.36,0
78,48,113.06,0,Month-to-month,5426.88,0
79,35,45.79,0,One year,1602.65,0
80,24,113.44,0,Two year,2722.56,0
81,8,81.91,0,Month-to-month,655.28,0
82,27,118.54,0,Month-to-month,3200.58,0
83,26,23.26,0,Two year,604.76,0
84,41,92.52,1,One year,3793.32,1
85,23,76.56,0,One year,1760.88,0
86,10,69.24,0,Month-to-month,692.4,0
87,4,45.92,0,One year,183.68,1
88,40,52.68,0,Month-to-month,2107.2,0
89,24,44.95,0,Month-to-month,1078.8,0
90,37,41.93,0,Month-to-month,1551.41,0
91,28,99.97,0,Two year,2799.16,0
92,38,70.24,1,Month-to-month,2669.12,0
93,58,28.32,1,Month-to-month,1642.56,0
94,20,97.7,0,Month-to-month,1954.0,0
95,39,73.36,0,Month-to-month,2861.04,1
96,9,93.94,0,One year,845.46,0
97,33,71.54,0,One year,2360.82,0
98,35,59.99,1,Month-to-month,2099.65,1
99,11,118.62,0,Month-to-month,1304.82,1
100,24,22.82,1,Two year,547.68,0
101,16,113.28,1,Month-to-month,1812.48,1
102,48,113.09,0,Month-to-month,5428.32,1
103,24,59.09,0,Month-to-month,1418.16,0
104,26,41.45,0,One year,1077.7,0
105,8,81.92,1,One year,655.36,0
106,52,37.8,0,Two year,1965.6,0
107,29,100.32,1,Two year,2909.28,0
108,11,45.39,1,Month-to-month,499.29,0
109,47,49.08,0,Two year,2306.76,0
110,33,111.59,0,One year,3682.47,0
111,25,110.29,0,Month-to-month,2757.25,0
112,24,73.54,0,Month-to-month,1764.96,0
113,56,106.28,1,Month-to-month,5951.68,0
114,2,55.25,1,Two year,110.5,0
115,50,119.79,0,One year,5989.5,0
116,14,63.37,1,Month-to-month,887.18,0
117,4,49.48,0,Two year,197.92,0
118,1,24.16,2,Month-to-month,24.16,0
119,57,118.97,0,Month-to-month,6781.29,0
120,14,66.49,2,Month-to-month,930.86,0
121,7,93.46,0,Month-to-month,654.22,0
122,53,84.08,1,Month-to-month,4456.24,0
123,22,92.31,0,Month-to-month,2030.82,0
124,7,25.11,0,Month-to-month,175.77,0
125,3,112.0,0,Month-to-month,336.0,0
126,13,112.68,0,Two year,1464.84,0
127,28,75.2,1,Two year,2105.6,0
128,22,116.39,0,Month-to-month,2560.58,0
129,12,48.1,0,Month-to-month,577.2,0
130,8,80.21,0,Month-to-month,641.68,1
131,14,59.65,0,Month-to-month,835.1,0
132,9,82.8,0,Month-to-month,745.2,1
133,12,50.06,0,One year,600.72,1
134,13,101.94,0,Two year,1325.22,0
135,44,26.98,1,Month-to-month,1187.12,0
136,21,24.19,0,One year,507.99,0
137,31,24.94,0,Month-to-month,773.14,0
138,37,35.05,0,Month-to-month,1296.85,0
139,40,59.54,0,Month-to-month,2381.6,0
140,8,115.54,1,Month-to-month,924.32,0
141,46,31.08,1,Month-to-month,1429.68,1
142,5,84.76,0,Month-to-month,423.8,0
143,58,72.76,0,Month-to-month,4220.08,0
144,49,55.32,0,Month-to-month,2710.68,1
145,19,39.82,0,One year,756.58,0
146,33,42.06,0,Month-to-month,1387.98,0
147,14,24.38,1,Month-to-month,341.32,0
148,11,91.32,0,Month-to-month,1004.52,0
149,24,85.38,0,Month-to-month,2049.12,0
150,18,64.38,0,Month-to-month,1158.84,0
151,8,91.89,0,One year,735.12,0
152,58,31.0,1,Month-to-month,1798.0,0
153,25,113.87,0,Month-to-month,2846.75,0
154,11,104.76,0,Month-to-month,1152.36,0
155,29,85.9,0,Month-to-month,2491.1,0
156,21,57.88,0,Two year,1215.48,0
157,33,61.66,1,Month-to-month,2034.78,1
158,13,68.22,0,One year,886.86,0
159,2,113.53,0,Month-to-month,227.06,1
160,31,106.36,0,Month-to-month,3297.16,0
161,42,67.79,0,Month-to-month,2847.18,0
162,25,75.45,0,Month-to-month,1886.25,0
163,19,107.54,0,Month-to-month,2043.26,0
164,52,114.93,1,Month-to-month,5976.36,0
165,34,83.92,1,One year,2853.28,0
166,3,94.85,0,Month-to-month,284.55,0
167,45,55.16,1,Two year,2482.2,0
168,29,111.8,0,Month-to-month,3242.2,0
